,Date,ca_mnt,ca_fx,mnt_usd,ca_fx_usd,mnt_usd_000,ca_mnt_000,ca_fx_usd_000,ca_fx_000
81,2010-10,644218.8,565357.33,1283.38,440.5221602331343,1.2833800000000002,0.6442188000000001,1.3215664806994027,0.56535733
82,2010-11,640031.93,559165.54,1246.69,448.52011325991225,1.24669,0.64003193,1.3455603397797367,0.5591655400000001
83,2010-12,758432.43,761870.66,1256.47,606.3580188942036,1.25647,0.75843243,1.8190740566826107,0.76187066
84,2011-01,727889.02,603771.22,1245.46,484.77768856486756,1.24546,0.72788902,1.4543330656946027,0.6037712199999999
85,2011-02,684079.74,679007.69,1254.51,541.2533100573132,1.25451,0.6840797399999999,1.6237599301719396,0.6790076899999999
86,2011-03,784204.09,639085.63,1195.27,534.6788842688263,1.19527,0.78420409,1.6040366528064791,0.63908563
87,2011-04,853725.06,786060.84,1258.47,624.6162721399795,1.25847,0.85372506,1.8738488164199385,0.78606084
88,2011-05,937820.44,720758.7,1245.35,578.7599470028506,1.24535,0.93782044,1.7362798410085518,0.7207587
89,2011-06,1063083.63,807902.45,1258.64,641.885249157821,1.2586400000000002,1.06308363,1.925655747473463,0.8079024499999999
90,2011-07,1044175.29,851404.85,1251.25,680.4434365634365,1.25125,1.04417529,2.0413303096903097,0.85140485
91,2011-08,1107194.68,700712.14,1248.67,561.1667934682501,1.2486700000000002,1.1071946799999999,1.6835003804047504,0.70071214
92,2011-09,1133410.39,701726.69,1285.64,545.8189617622351,1.2856400000000001,1.1334103899999999,1.6374568852867053,0.70172669
93,2011-10,1099580.55,706425.58,1297.67,544.3799887490655,1.29767,1.09958055,1.6331399662471968,0.70642558
94,2011-11,1053083.04,742125.58,1340.9,553.4533373107614,1.3409,1.05308304,1.6603600119322843,0.74212558
95,2011-12,1203754.08,776671.06,1396.37,556.2072086911063,1.39637,1.2037540800000002,1.6686216260733189,0.7766710600000001
96,2012-01,1098665.2,693308.63,1366.3,507.43513869574764,1.3662999999999998,1.0986652,1.522305416087243,0.69330863
97,2012-02,1029480.17,735820.63,1340.19,549.0420238921347,1.34019,1.02948017,1.6471260716764042,0.73582063
98,2012-03,1026924.17,867586.2,1318.8,657.8603275705186,1.3188,1.02692417,1.9735809827115558,0.8675862
99,2012-04,1084118.02,782727.78,1316.11,594.7282370014665,1.31611,1.08411802,1.7841847110043996,0.78272778
